Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0805_2012Metric",143.000000,-89.400000,0.000000,top
"C2","0.1u","C_0402_1005Metric",142.500000,-87.500000,0.000000,top
"C3","15p","C_0402_1005Metric",146.100000,-78.000000,-90.000000,top
"C4","15p","C_0402_1005Metric",139.500000,-78.000000,-90.000000,top
"C5","0.1u","C_0402_1005Metric",132.300000,-96.400000,-90.000000,top
"C6","0.1u","C_0402_1005Metric",133.700000,-96.400000,-90.000000,top
"C7","0.1u","C_0402_1005Metric",133.000000,-77.500000,90.000000,top
"C8","0.1u","C_0402_1005Metric",143.500000,-84.300000,0.000000,top
"C9","0.1u","C_0402_1005Metric",134.500000,-77.500000,90.000000,top
"C10","0.1u","C_0402_1005Metric",143.500000,-85.400000,0.000000,top
"C11","0.1u","C_0402_1005Metric",122.920000,-88.300000,180.000000,top
"C12","0.1u","C_0402_1005Metric",122.920000,-86.900000,180.000000,top
"C13","0.1u","C_0402_1005Metric",115.500000,-80.800000,0.000000,top
"C14","0.1u","C_0402_1005Metric",115.500000,-78.300000,0.000000,top
"C15","1u","C_0402_1005Metric",131.500000,-77.500000,90.000000,top
"C16","1u","C_0402_1005Metric",102.500000,-50.000000,-90.000000,top
"C17","0.1u","C_0402_1005Metric",149.300000,-88.500000,180.000000,top
"C22","10u","C_0805_2012Metric",123.272500,-51.794000,90.000000,top
"C23","10u","C_0805_2012Metric",126.320500,-51.794000,90.000000,top
"C24","10u","C_0805_2012Metric",142.240000,-37.592000,0.000000,top
"C25","10u","C_0805_2012Metric",135.452000,-51.364000,90.000000,top
"C26","10n","C_0402_1005Metric",141.500000,-45.720000,-90.000000,top
"C27","10u","C_0805_2012Metric",138.500000,-51.364000,90.000000,top
"C28","10u","C_0805_2012Metric",132.588000,-39.624000,180.000000,top
"C29","10n","C_0402_1005Metric",103.632000,-58.448000,-90.000000,top
"C30","10n","C_0402_1005Metric",103.632000,-62.484000,90.000000,top
"C31","0.1u","C_0402_1005Metric",94.996000,-60.960000,90.000000,top
"C32","10n","C_0402_1005Metric",169.672000,-58.420000,-90.000000,top
"C33","10n","C_0402_1005Metric",169.672000,-62.484000,90.000000,top
"C34","0.1u","C_0402_1005Metric",160.528000,-60.960000,90.000000,top
"C35","1u","C_0402_1005Metric",138.430000,-69.550800,-90.000000,top
"C36","1u","C_0402_1005Metric",139.903200,-69.500000,-90.000000,top
"C37","1u","C_0402_1005Metric",141.376400,-69.500000,-90.000000,top
"C38","1u","C_0402_1005Metric",142.900400,-69.500000,-90.000000,top
"C39","1u","C_0402_1005Metric",144.373600,-69.500000,-90.000000,top
"C40","2.2u","C_0603_1608Metric",133.000000,-70.000000,180.000000,top
"C41","2.2u","C_0603_1608Metric",135.900000,-66.700000,0.000000,top
"C42","2.2u","C_0603_1608Metric",129.700000,-68.300000,-90.000000,top
"C43","2.2u","C_0603_1608Metric",121.000000,-95.968000,0.000000,top
"C47","2.2u","C_0603_1608Metric",122.800000,-83.600000,180.000000,top
"D1","LED","LED_0603_1608Metric",154.200000,-105.200000,0.000000,top
"D2","D_Schottky","D_SOD-123",137.500000,-45.000000,180.000000,top
"D3","D_Schottky","D_SOD-123",132.588000,-44.958000,90.000000,top
"D4","SP0502BAHT","SOT-23",103.000000,-86.500000,-90.000000,top
"D5","SP0502BAHT","SOT-23",160.700000,-91.600000,180.000000,top
"D6","SP0502BAHT","SOT-23",160.700000,-86.100000,180.000000,top
"D10","LED","LED_0603_1608Metric",154.200000,-103.200000,0.000000,top
"D11","D_Schottky","D_SOD-123",121.000000,-98.900000,0.000000,top
"D12","D_Zener","D_SOD-123",106.000000,-48.500000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10118193-0001LF_Horizontal",127.000000,-105.000000,0.000000,top
"J2","Conn_01x02_Socket","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",116.000000,-43.450000,180.000000,top
"J3","Conn_01x06","JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal",167.687000,-43.450000,180.000000,top
"J9","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",111.200000,-93.000000,-90.000000,top
"J10","Conn_01x04","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",101.000000,-43.550000,180.000000,top
"L1","L","L_1210_3225Metric",137.109200,-41.500000,180.000000,top
"Q2","IRLML6401","SOT-23",127.000000,-39.535100,180.000000,top
"R1","560","R_0402_1005Metric",133.500000,-101.600000,180.000000,top
"R2","100k","R_0402_1005Metric",149.300000,-90.900000,180.000000,top
"R3","100k","R_0402_1005Metric",127.000000,-77.500000,90.000000,top
"R4","1K","R_0402_1005Metric",154.000000,-82.500000,0.000000,top
"R5","22","R_0402_1005Metric",128.000000,-94.000000,90.000000,top
"R6","22","R_0402_1005Metric",126.000000,-94.000000,90.000000,top
"R7","330","R_0402_1005Metric",157.700000,-105.200000,0.000000,top
"R8","330","R_0402_1005Metric",157.700000,-103.200000,0.000000,top
"R9","1K","R_0402_1005Metric",140.500000,-81.000000,90.000000,top
"R10","20k","R_0402_1005Metric",137.490000,-77.500000,-90.000000,top
"R11","10k","R_0402_1005Metric",136.000000,-77.500000,-90.000000,top
"R12","120","R_0402_1005Metric",102.500000,-80.000000,90.000000,top
"R13","1.6k","R_0402_1005Metric",131.654500,-51.794000,90.000000,top
"R14","1k","R_0402_1005Metric",129.114500,-51.794000,-90.000000,top
"R15","1.3k","R_0402_1005Metric",143.326000,-51.364000,90.000000,top
"R16","1k","R_0402_1005Metric",141.040000,-51.364000,-90.000000,top
"R17","49.9k","R_0402_1005Metric",145.990000,-44.000000,180.000000,top
"R18","9.53k","R_0402_1005Metric",145.990000,-41.900000,0.000000,top
"R19","100k","R_0402_1005Metric",109.000000,-48.000000,-90.000000,top
"R20","10k","R_0402_1005Metric",109.000000,-50.500000,-90.000000,top
"R21","4.7k","R_0402_1005Metric",145.400000,-83.100000,0.000000,top
"SW1","PTS645SK50SMTR92LFS","PTS645SK50SMTR92LFS_CNK",154.100000,-89.300000,-90.000000,top
"U2","TCAN1043xDxQ1","SOIC-14_3.9x8.7mm_P1.27mm",109.400000,-79.500000,180.000000,top
"U3","STM32F446RETx","LQFP-64_10x10mm_P0.5mm",133.019800,-86.995000,-135.000000,top
"U4","USBLC6-2SC6","SOT-23-6",127.000000,-97.500000,90.000000,top
"U5","LM1117DT-ADJ","SOT-223-3_TabPin2",126.308000,-60.000000,-90.000000,top
"U6","AOZ1280CI","SOT-23-6",142.240000,-41.500000,90.000000,top
"U7","LM1117DT-ADJ","SOT-223-3_TabPin2",138.500000,-60.000000,-90.000000,top
"Y2","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",142.400000,-77.650000,0.000000,top
